rank	human_gene_symbol	composite_score	score_mouse_csf	score_human_csf	score_ev	score_brain	score_autophagy	penalties	n_mouse_csf_datasets	mouse_csf_best_tier	d11_tier	d12_validated	d10_detected	d6_brain_detected	d9_isf_detected	ev_present	in_r1	r1_category	r1_tier	is_ambiguous_group	orthology_ambiguous	likely_plasma_derived	feasibility_tier	n_conserved_proteotypic	n_proteotypic_human	n_proteotypic_mouse	module_id	is_hub	module_connectivity	inclusion_count
1422	UBL3	0.459349	0.0	1.0	0.593485	1.0	0.0	0.0	0	absent	A	True	False	True	False	True	False			False	False	False					758.0	False	0.0	0
1423	PPP2R2A	0.459198	0.266369	0.0	0.926059	1.0	0.8	0.0	2	A	absent	False	False	True	True	True	True	Negative Regulator of Autophagy	default	False	False	False								0
1424	SEPTIN2	0.459133	0.209821	0.7	0.966775	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1425	RPLP0	0.459097	0.600298	0.7	0.990228	1.0	0.0	-0.1	6	A	B	True	False	True	True	True	False			True	False	False								0
1426	VDAC2	0.459012	0.423214	0.7	0.432085	1.0	0.0	0.0	4	A	B	True	False	True	False	True	False			False	False	False								0
1427	MMP17	0.458962	0.51585	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					912.0	False	0.3153819515655264	0
1428	CAMK2B	0.458938	0.515753	1.1	0.0	1.0	0.0	-0.1	6	A	A	True	True	True	False	False	False			True	False	False					951.0	False	0.3407147363791168	0
1429	DPT	0.458804	0.635216	1.0	0.0	0.0	0.0	0.0	6	A	A	True	False	False	False	False	False			False	False	False					221.0	False	0.0	0
1430	GMPS	0.458219	0.220238	0.7	0.931596	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1431	EIF2S1	0.457785	0.217262	0.7	0.934691	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1432	PRKAR1B	0.45771	0.119048	1.0	0.279479	1.0	0.0	0.0	1	A	A	True	False	True	False	True	False			False	False	False					932.0	False	0.3039926868564457	0
1433	SRSF3	0.457674	0.209524	0.7	0.952932	1.0	0.0	0.0	3	A	B	False	False	True	False	True	False			False	False	False								0
1434	GCSH	0.457264	0.056548	1.0	0.43127	1.0	0.0	0.0	1	A	A	True	False	True	False	True	False			False	False	False					299.0	False	0.3586537221258731	0
1435	NLGN2	0.45716	0.350595	1.1	0.395114	1.0	0.0	-0.1	4	A	A	True	True	True	False	True	False			True	False	False					951.0	False	0.4483639580288055	0
1436	PSMD9	0.457069	0.254464	0.7	0.834528	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1437	CAMK2A	0.456884	0.507537	1.1	0.0	1.0	0.0	-0.1	6	A	A	True	True	True	True	False	False			True	False	False					951.0	False	0.4679030616795476	0
1438	SLC39A12	0.456872	0.107489	1.1	0.0	1.0	0.0	0.0	2	A	A	True	True	True	False	False	False			False	False	False					996.0	False	0.0	0
1439	CRISPLD1	0.456737	0.133333	1.1	0.934039	0.0	0.0	0.0	1	A	A	True	True	False	False	True	False			False	False	False					290.0	True	0.5050687790787183	0
1440	AQP4	0.456548	0.22619	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.317632834865551	0
1441	PXDN	0.456466	0.22619	1.0	0.999186	0.0	0.0	0.0	3	A	A	True	False	False	False	True	False			False	False	False					514.0	False	0.0	0
1442	RPN2	0.456186	0.21875	1.0	0.014984	1.0	0.0	0.0	3	A	A	False	False	True	False	True	False			False	False	False					1001.0	False	0.0	0
1443	RGMB	0.4559	0.503599	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.5054622979639792	0
1444	NRGN	0.455878	0.223512	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	True	False	False			False	False	False					767.0	False	0.0	0
1445	ARPC1A	0.45574	0.241071	0.7	0.854723	1.0	0.0	0.0	3	A	B	False	False	True	False	True	False			False	False	False								0
1446	GPS1	0.455714	0.21875	0.7	0.910261	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1447	PTPN11	0.455682	0.258036	0.7	0.811726	1.0	0.0	0.0	3	A	B	False	False	True	False	True	False			False	False	False								0
1448	DYNC1LI2	0.455526	0.24256	0.7	0.84886	1.0	0.0	0.0	2	A	B	True	False	True	True	True	False			False	False	False					241.0	False	0.0	0
1449	VAPA	0.45548	0.38244	1.0	0.598697	1.0	0.0	-0.1	3	A	A	True	False	True	False	True	False			True	False	False					914.0	False	0.3767725433104668	0
1450	F9	0.455218	0.500872	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					99.0	False	0.5019515186259383	0
1451	TMX1	0.45495	0.095238	1.0	0.311401	1.0	0.0	0.0	1	A	A	False	False	True	False	True	False			False	False	False					569.0	False	0.5356914942796375	0
1452	LRPPRC	0.454883	0.186406	0.0	0.957818	1.0	0.85	0.0	3	A	absent	False	False	True	False	True	True	Negative regulator of Mitophagy	mitophagy	False	False	False								0
1453	CALB1	0.454131	0.496525	1.1	0.0	1.0	0.0	-0.1	5	A	A	True	True	True	True	False	False			True	False	False					951.0	False	0.3251893838726237	0
1454	TRIM28	0.454085	0.190476	0.7	0.964658	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1455	MYH14	0.454018	0.216071	1.0	0.0	1.0	0.0	0.0	4	A	A	False	False	True	False	False	False			False	False	False								0
1456	NLGN1	0.453893	0.49557	1.1	0.0	1.0	0.0	-0.1	5	A	A	True	True	True	False	False	False			True	False	False					951.0	False	0.4405770090048705	0
1457	FAM177A1	0.453811	0.0	1.0	0.538111	1.0	0.0	0.0	0	absent	A	True	False	True	False	True	False			False	False	False					951.0	False	0.309916450779586	0
1458	TMEM132C	0.453754	0.495017	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.4711492113354776	0
1459	ART3	0.453754	0.495017	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.4185941575511278	0
1460	MIA	0.453754	0.495017	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					14.0	False	0.4628523735641079	0
1461	MRC1	0.452924	0.491694	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					152.0	False	0.2839810076369995	0
1462	EHD3	0.45287	0.233631	0.7	0.844625	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1463	ETF1	0.452461	0.235119	0.7	0.836808	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1464	RMDN1	0.452257	0.041667	1.0	0.418404	1.0	0.0	0.0	1	A	A	False	False	True	False	True	False			False	False	False								0
1465	RPL24	0.45215	0.22619	0.7	0.856026	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1466	OMD	0.452093	0.488372	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					949.0	False	0.4684631847204247	0
1467	PFDN2	0.451983	0.209821	0.7	0.895277	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1468	DBN1	0.451902	0.209821	0.7	0.894463	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1469	IGLON5	0.451808	0.590033	1.1	0.742997	1.0	0.0	-0.2	5	A	A	True	True	True	False	True	False			False	False	True					951.0	False	0.480533408665809	0
1470	CBLN1	0.451522	0.486088	1.1	0.0	1.0	0.0	-0.1	4	A	A	True	True	True	False	False	False			True	False	False					951.0	False	0.5050702080270693	0
1471	RAB8A	0.451387	0.139881	0.0	0.664169	1.0	1.0	0.0	1	A	absent	False	False	True	False	True	True	Rab proteins involved in autophagosome formation	core_machinery	False	False	False								0
1472	ITPR1	0.451345	0.124405	1.0	0.202443	1.0	0.0	0.0	2	A	A	True	False	True	False	True	False			False	False	False					566.0	False	0.0	0
1473	TUBB3	0.451206	0.565476	0.7	0.998371	1.0	0.0	-0.1	6	A	B	True	False	True	True	True	False			True	False	False								0
1474	COL4A1	0.450971	0.280952	1.0	0.807329	0.0	0.0	0.0	3	A	A	True	False	False	False	True	False			False	False	False					246.0	False	0.0	0
1475	ATG4B	0.450778	0.125	0.0	0.695277	1.0	1.0	0.0	2	A	absent	False	False	True	False	True	True	ATG8 Ubiquitin-like conjugation systems	core_machinery	False	False	False								0
1476	CNR1	0.450595	0.202381	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.3850943395914469	0
1477	FLRT2	0.450446	0.201786	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	False	False	False			False	False	False					270.0	False	0.0	0
1478	LYVE1	0.450432	0.481728	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					299.0	False	0.3834721581137832	0
1479	PCDH8	0.450406	0.481624	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.3587884946451189	0
1480	TUBB2B	0.450404	0.164286	0.7	0.993322	1.0	0.0	0.0	3	A	B	True	False	True	True	True	False			False	False	False								0
1481	CXCL16	0.450146	0.480586	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					852.0	False	0.0	0
1482	MAP1LC3B	0.45	0.0	1.0	0.0	0.0	1.0	-0.1	0	absent	A	True	False	False	False	False	True	ATG8 Ubiquitin-like conjugation systems	core_machinery	True	False	False					299.0	False	0.421597577810722	0
1483	FLG	0.449794	0.019048	1.0	0.450326	1.0	0.0	0.0	1	A	A	True	False	True	False	True	False			False	False	False					610.0	False	0.4109110960846189	0
1484	RAB35	0.449516	0.203274	0.7	0.886971	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False								0
1485	COX5B	0.449512	0.439286	0.7	0.296906	1.0	0.0	0.0	4	A	B	True	False	True	False	True	False			False	False	False								0
1486	CD74	0.449048	0.07619	1.1	0.0	1.0	0.0	0.0	1	A	A	True	True	True	False	False	False			False	False	False					547.0	False	0.3116612115207484	0
1487	ICAM2	0.449048	0.07619	1.1	0.0	1.0	0.0	0.0	1	A	A	True	True	True	False	False	False			False	False	False					97.0	False	0.3436664231825731	0
1488	DYNC1I2	0.448916	0.258333	0.7	0.743322	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False					738.0	False	0.0	0
1489	LGALSL	0.448712	0.295238	0.7	0.649023	1.0	0.0	0.0	3	A	B	True	False	True	True	True	False			False	False	False								0
1490	RAB23	0.448527	0.11756	0.0	0.691368	1.0	1.0	0.0	2	A	absent	False	False	True	False	True	True	Rab proteins involved in autophagosome formation	core_machinery	False	False	False								0
1491	RAB8B	0.447793	0.136905	0.0	0.635668	1.0	1.0	0.0	1	A	absent	False	False	True	False	True	True	Rab proteins involved in autophagosome formation	core_machinery	False	False	False								0
1492	RALA	0.447604	0.18006	0.7	0.925896	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1493	PDGFRA	0.447286	0.387645	1.0	0.503746	0.0	0.0	0.0	4	A	A	True	False	False	False	True	False			False	False	False					920.0	False	0.0	0
1494	CLEC11A	0.447209	0.156589	1.1	0.780619	0.0	0.0	0.0	2	A	A	True	True	False	False	True	False			False	False	False					949.0	False	0.3728494897019377	0
1495	CA4	0.446875	0.1875	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					824.0	False	0.4485597382889087	0
1496	GALNT13	0.44645	0.3	1.1	0.414495	0.0	0.0	0.0	3	A	A	True	True	False	False	True	False			False	False	False					951.0	False	0.4320600797509832	0
1497	NTS	0.446429	0.185714	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False								0
1498	NTRK3	0.446131	0.184524	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.4082145047611514	0
1499	SHISA5	0.44603	0.46412	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					290.0	False	0.4400594051210889	0
1500	EMC10	0.445982	0.183929	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					811.0	False	0.3083132421711361	0
1501	RPL37A	0.445948	0.224702	0.7	0.79772	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1502	NAP1L4	0.445831	0.197917	0.7	0.863518	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1503	MAPK3	0.445794	0.325	0.0	0.89544	1.0	0.7	0.0	3	A	absent	False	False	True	False	True	True	Positive regulator of Autophagy genes	upstream_regulators	False	False	False								0
1504	FUBP1	0.44578	0.199405	0.7	0.859283	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1505	PYCARD	0.445759	0.183036	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					311.0	False	0.0	0
1506	S100A13	0.445238	0.180952	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.2860888222111839	0
1507	UBE2I	0.444874	0.233631	0.7	0.764658	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1508	NECAP1	0.444677	0.328869	0.7	0.524593	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False								0
1509	STK39	0.444367	0.330952	0.0	0.616287	1.0	0.8	0.0	3	A	absent	False	False	True	False	True	True	Negative Regulator of Autophagy	default	False	False	False								0
1510	GCLM	0.443689	0.387002	0.7	0.369381	1.0	0.0	0.0	5	A	B	False	False	True	False	True	False			False	False	False								0
1511	PNP	0.443687	0.737874	0.7	0.492182	1.0	0.0	-0.1	6	A	B	False	False	True	True	True	False			True	False	False								0
1512	FBLN7	0.443463	0.267857	1.1	0.464984	0.0	0.0	0.0	2	A	A	True	True	False	False	True	False			False	False	False					951.0	False	0.4003323678197261	0
1513	PCBP1	0.443187	0.542456	0.7	0.975733	1.0	0.0	-0.1	6	A	B	True	False	True	True	True	False			True	False	False					450.0	False	0.0	0
1514	SHISA4	0.443155	0.172619	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					729.0	False	0.0	0
1515	SYT2	0.443155	0.172619	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					927.0	False	0.0	0
1516	PSPH	0.443044	0.293155	0.7	0.597557	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False					177.0	False	0.0	0
1517	G3BP1	0.442752	0.188988	0.7	0.855049	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1518	ACY1	0.442464	0.299107	0.7	0.576873	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False								0
1519	DYNLL2	0.442375	0.449502	1.1	0.0	1.0	0.0	-0.1	5	A	A	True	True	True	False	False	False			True	False	False					299.0	False	0.369404978893724	0
1520	RGS12	0.442	0.077381	1.0	0.226547	1.0	0.0	0.0	1	A	A	True	False	True	False	True	False			False	False	False					306.0	False	0.0	0
1521	ST3GAL6	0.441311	0.343549	1.0	0.554235	0.0	0.0	0.0	5	A	A	True	False	False	False	True	False			False	False	False					934.0	False	0.3005192903705281	0
1522	ANK2	0.441239	0.235119	0.7	0.724593	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1523	APOM	0.441097	0.444387	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					99.0	True	0.6159347626666898	0
1524	TGFB2	0.440867	0.563469	1.0	0.0	0.0	0.0	0.0	5	A	A	True	False	False	False	False	False			False	False	False					722.0	False	0.0	0
1525	NANP	0.440772	0.119048	1.0	0.110098	1.0	0.0	0.0	1	A	A	False	False	True	False	True	False			False	False	False								0
1526	SH3BGRL2	0.440476	0.161905	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	False	False	False			False	False	False					684.0	False	0.0	0
1527	EWSR1	0.440456	0.230357	0.7	0.728664	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False								0
1528	GALNT18	0.440439	0.441757	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.4507475593287791	0
1529	CNN3	0.44025	0.19494	0.7	0.815147	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False					244.0	False	0.0	0
1530	ATRNL1	0.440041	0.07619	1.0	0.209935	1.0	0.0	0.0	1	C	A	True	False	True	False	True	False			False	False	False					929.0	False	0.3316395243404634	0
1531	TREM2	0.43973	0.438919	1.1	0.0	1.0	0.0	-0.1	5	A	A	True	True	True	False	False	False			True	False	False					575.0	False	0.0	0
1532	PSMB8	0.439672	0.199405	0.7	0.798208	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1533	RMDN3	0.439492	0.077381	1.0	0.201466	1.0	0.0	0.0	1	A	A	True	False	True	False	True	False			False	False	False					906.0	False	0.0	0
1534	DPP4	0.439286	0.157143	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					75.0	False	0.3807748660557277	0
1535	SBSN	0.439225	0.371429	1.1	0.163681	0.0	0.0	0.0	3	A	A	True	True	False	False	True	False			False	False	False					615.0	False	0.0	0
1536	SHMT2	0.439143	0.119048	0.7	0.993811	1.0	0.0	0.0	1	A	B	False	False	True	False	True	False			False	False	False								0
1537	F11R	0.439072	0.0	1.0	0.390717	1.0	0.0	0.0	0	absent	A	True	False	True	False	True	False			False	False	False					128.0	False	0.0	0
1538	ILF3	0.439014	0.127976	0.7	0.970195	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1539	ATP5F1C	0.43892	0.276786	0.7	0.597231	1.0	0.0	0.0	3	A	B	True	False	True	False	True	False			False	False	False								0
1540	RHOG	0.438766	0.177083	0.7	0.844951	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1541	TF	0.438713	1.0	1.1	0.587134	1.0	0.0	-0.3	7	A	A	True	True	True	True	True	False			True	False	True								0
1542	BCHE	0.438581	0.434323	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					555.0	False	0.3071085334493778	0
1543	COMP	0.43848	0.33887	1.0	0.537622	0.0	0.0	0.0	3	A	A	True	False	False	False	True	False			False	False	False					32.0	False	0.0	0
1544	KIAA0319	0.438209	0.432835	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.4027863907768562	0
1545	DSG2	0.438122	0.432489	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					509.0	False	0.0	0
1546	RARS1	0.437952	0.120536	0.7	0.978176	1.0	0.0	0.0	1	A	B	True	False	True	False	True	False			False	False	False								0
1547	PPP1CA	0.437874	0.165179	1.0	0.965798	1.0	0.0	-0.1	2	A	A	True	False	True	True	True	False			True	False	False					408.0	False	0.0	0
1548	TPD52	0.437798	0.15119	1.0	0.0	1.0	0.0	0.0	3	A	A	True	False	True	False	False	False			False	False	False					865.0	False	0.0	0
1549	HEBP2	0.437518	0.098214	1.0	0.129642	1.0	0.0	0.0	2	A	A	True	False	True	False	True	False			False	False	False					529.0	False	0.0	0
1550	PPME1	0.437483	0.184524	0.7	0.813518	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False								0
1551	DPYSL5	0.437434	0.127976	0.7	0.954397	1.0	0.0	0.0	1	A	B	False	False	True	True	True	False			False	False	False								0
1552	BRSK2	0.437388	0.107143	1.0	0.106026	1.0	0.0	0.0	1	A	A	False	False	True	False	True	False			False	False	False								0
1553	SAMHD1	0.437374	0.238095	0.7	0.678502	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1554	CLMP	0.437296	0.0	1.0	0.372964	1.0	0.0	0.0	0	absent	A	True	False	True	False	True	False			False	False	False					951.0	False	0.3362272769616246	0
1555	TNXB	0.437143	0.428571	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False								0
1556	MMRN2	0.437093	0.428371	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					899.0	False	0.3979238068731944	0
1557	RPL11	0.436977	0.519048	0.7	0.97215	1.0	0.0	-0.1	5	A	B	False	False	True	False	True	False			True	False	False								0
1558	SLC1A3	0.436905	0.147619	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False								0
1559	CTBP1	0.436625	0.181548	0.7	0.812378	1.0	0.0	0.0	2	A	B	True	False	True	False	True	False			False	False	False					99.0	False	0.3235823953566071	0
1560	CA10	0.436545	0.146179	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.4488641294280165	0
1561	S100A4	0.436396	0.145584	1.0	0.0	1.0	0.0	0.0	5	A	A	True	False	True	False	False	False			False	False	False					492.0	False	0.0	0
1562	SVEP1	0.436314	0.30897	1.0	0.590717	0.0	0.0	0.0	3	A	A	True	False	False	False	True	False			False	False	False					266.0	False	0.0	0
1563	DPYSL4	0.436302	0.117262	0.7	0.96987	1.0	0.0	0.0	2	A	B	False	False	True	True	True	False			False	False	False								0
1564	AAK1	0.436179	0.232143	0.7	0.681433	1.0	0.0	0.0	2	A	B	True	False	True	True	True	False			False	False	False								0
1565	PDLIM1	0.436134	0.220238	0.7	0.710749	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1566	CYFIP2	0.436058	0.188988	0.7	0.788111	1.0	0.0	0.0	2	A	B	True	False	True	True	True	False			False	False	False								0
1567	ASPA	0.436042	0.504167	0.7	0.0	1.0	0.0	0.0	4	A	B	True	False	True	False	False	False			False	False	False								0
1568	CUL5	0.436031	0.214286	0.0	0.824593	1.0	0.8	0.0	2	A	absent	False	False	True	False	True	True	Negative Regulator of Autophagy	default	False	False	False								0
1569	COL6A2	0.435717	0.424107	0.8	0.896906	0.0	0.0	0.0	3	A	B	True	True	False	False	True	False			False	False	False					543.0	False	0.5099577030828517	0
1570	TRHDE	0.435714	0.142857	1.0	0.0	1.0	0.0	0.0	1	A	A	True	False	True	False	False	False			False	False	False					951.0	False	0.378873719367823	0
1571	PCDHGA9	0.435714	0.142857	1.0	0.0	1.0	0.0	0.0	1	A	A	True	False	True	False	False	False			False	False	False					888.0	False	0.320993094686827	0
1572	CSMD2	0.435714	0.142857	1.0	0.0	1.0	0.0	0.0	1	C	A	True	False	True	False	False	False			False	False	False					951.0	False	0.333061944451602	0
1573	SPTBN4	0.435714	0.142857	1.0	0.0	1.0	0.0	0.0	1	C	A	True	False	True	False	False	False			False	False	False					608.0	False	0.0	0
1574	LTBP3	0.435654	0.296429	1.0	0.615472	0.0	0.0	0.0	3	A	A	True	False	False	False	True	False			False	False	False					222.0	False	0.0	0
1575	FUT8	0.435635	0.0	1.0	0.356352	1.0	0.0	0.0	0	absent	A	True	False	True	False	True	False			False	False	False					951.0	False	0.3626010542399625	0
1576	S1PR1	0.435208	0.020833	1.1	0.0	1.0	0.0	0.0	1	A	A	True	True	True	False	False	False			False	False	False					631.0	False	0.0	0
1577	HNRNPDL	0.435007	0.127976	0.7	0.93013	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1579	WSCD1	0.434911	0.419643	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.2968396747067324	0
1578	EFNA1	0.434911	0.419643	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False					856.0	False	0.4050459489303641	0
1580	PIK3C3	0.434779	0.071429	0.0	0.669218	1.0	1.0	0.0	1	A	absent	False	False	True	False	True	True	PI3K complexes	core_machinery	False	False	False								0
1581	B4GALT1	0.434688	0.41875	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					574.0	False	0.4316830826008531	0
1582	VPS16	0.434463	0.174107	0.0	0.784365	1.0	0.85	0.0	2	A	absent	False	False	True	False	True	True	HOPS	docking	False	False	False								0
1583	GFPT1	0.434393	0.183631	0.7	0.784853	1.0	0.0	0.0	3	A	B	False	False	True	False	True	False			False	False	False								0
1584	DLG2	0.434226	0.136905	1.0	0.0	1.0	0.0	0.0	1	A	A	False	False	True	True	False	False			False	False	False								0
1585	PPM1B	0.434171	0.1875	0.7	0.772964	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1586	USP7	0.434162	0.174107	0.0	0.906352	1.0	0.8	0.0	2	A	absent	False	False	True	False	True	True	Ubiquitin and Autophagy	default	False	False	False								0
1587	NDUFAB1	0.433941	0.188988	0.7	0.766938	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1588	AP3B1	0.433879	0.198512	0.0	0.842508	1.0	0.8	0.0	3	A	absent	False	False	True	False	True	True	PE; HPS; HPS2; ADTB3; ADTB3A	default	False	False	False								0
1589	PLXND1	0.43378	0.135119	1.0	0.0	1.0	0.0	0.0	2	A	A	True	False	True	False	False	False			False	False	False					591.0	False	0.0	0
1590	PLD4	0.43372	0.414881	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					290.0	False	0.426045099901355	0
1591	SYT1	0.433688	0.267262	1.0	0.66873	1.0	0.0	-0.1	2	A	A	True	False	True	False	True	False			True	False	False					914.0	False	0.316761224001531	0
1592	MAN1C1	0.433571	0.414286	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False					824.0	False	0.4287457865966756	0
1593	FGFR2	0.433571	0.414286	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False					951.0	False	0.3361424721322135	0
1594	SMOC1	0.433571	0.414286	1.1	0.0	0.0	0.0	0.0	3	A	A	True	True	False	False	False	False			False	False	False					855.0	False	0.4286792297649927	0
1595	DLK2	0.433457	0.413829	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					299.0	False	0.4257267344873537	0
1596	ATG5	0.433412	0.108631	0.0	0.562541	1.0	1.0	0.0	2	A	absent	False	False	True	False	True	True	ATG12 Ubiquitin-like conjugation systems	core_machinery	False	False	False								0
1597	WIPI2	0.433246	0.053571	0.0	0.698534	1.0	1.0	0.0	1	A	absent	False	False	True	False	True	True	ATG9 and its cycling system	core_machinery	False	False	False								0
1598	NIPSNAP1	0.433087	0.113095	0.0	0.923127	1.0	0.85	0.0	1	A	absent	False	False	True	False	True	True	Mitophagy core	mitophagy	False	False	False								0
1599	MXRA8	0.432976	0.411905	1.1	0.0	0.0	0.0	0.0	4	A	A	True	True	False	False	False	False			False	False	False					824.0	False	0.3408149194425907	0
1600	PAK2	0.432912	0.21875	0.7	0.682248	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1601	ACAN	0.432769	0.531077	1.0	0.0	1.0	0.0	-0.1	5	A	A	True	False	True	False	False	False			True	False	False					650.0	False	0.0	0
1602	COL15A1	0.432691	0.410763	1.1	0.0	0.0	0.0	0.0	5	A	A	True	True	False	False	False	False			False	False	False					14.0	False	0.4441986283688059	0
1603	VASP	0.432534	0.183036	0.7	0.767752	1.0	0.0	0.0	2	A	B	False	False	True	False	True	False			False	False	False								0
1604	ALAD	0.432511	0.270238	0.8	0.249511	1.0	0.0	0.0	3	A	B	True	True	True	True	True	False			False	False	False					352.0	False	0.0	0
1605	TOMM70	0.432383	0.170833	0.7	0.796743	1.0	0.0	0.0	2	A	B	True	False	True	True	True	False			False	False	False								0
